Week,Queries
2008-01-06,0.389110226
2008-01-13,0.35856573700000005
2008-01-20,0.378486056
2008-01-27,0.41434263
2008-02-03,0.524568392
2008-02-10,0.548472776
2008-02-17,0.573705179
2008-02-24,0.483399735
2008-03-02,0.403718459
2008-03-09,0.337317397
2008-03-16,0.309428951
2008-03-23,0.317397078
2008-03-30,0.252324037
2008-04-06,0.225763612
2008-04-13,0.195219124
2008-04-20,0.181938911
2008-04-27,0.17662682600000001
2008-05-04,0.146082338
2008-05-11,0.150066401
2008-05-18,0.143426295
2008-05-25,0.12881806099999998
2008-06-01,0.120849934
2008-06-08,0.12350597599999999
2008-06-15,0.12483399699999999
2008-06-22,0.130146083
2008-06-29,0.10889774199999999
2008-07-06,0.12483399699999999
2008-07-13,0.10624169900000001
2008-07-20,0.092961487
2008-07-27,0.10624169900000001
2008-08-03,0.102257636
2008-08-10,0.131474103
2008-08-17,0.11553784800000001
2008-08-24,0.14741035800000002
2008-08-31,0.168658699
2008-09-07,0.175298805
2008-09-14,0.240371847
2008-09-21,0.24966799399999998
2008-09-28,0.250996016
2008-10-05,0.276228419
2008-10-12,0.26162018600000003
2008-10-19,0.282868527
2008-10-26,0.309428951
2008-11-02,0.276228419
2008-11-09,0.314741035
2008-11-16,0.338645419
2008-11-23,0.321381142
2008-11-30,0.409030544
2008-12-07,0.363877822
2008-12-14,0.367861885
2008-12-21,0.42231075700000004
2008-12-28,0.487383798
2009-01-04,0.38645418299999995
2009-01-11,0.363877822
2009-01-18,0.325365206
2009-01-25,0.390438246
2009-02-01,0.382470119
2009-02-08,0.41434263
2009-02-15,0.401062417
2009-02-22,0.409030544
2009-03-01,0.365205844
2009-03-08,0.326693227
2009-03-15,0.301460823
2009-03-22,0.273572378
2009-03-29,0.247011953
2009-04-05,0.24435591
2009-04-12,0.239043824
2009-04-19,0.29880478
2009-04-26,0.555380978
2009-05-03,0.5551128820000001
2009-05-10,0.34794156600000004
2009-05-17,0.325365206
2009-05-24,0.294820717
2009-05-31,0.28685259
2009-06-07,0.28685259
2009-06-14,0.355909695
2009-06-21,0.26560424899999996
2009-06-28,0.25763612199999997
2009-07-05,0.28419654699999997
2009-07-12,0.373173971
2009-07-19,0.351925631
2009-07-26,0.325365206
2009-08-02,0.30411686600000004
2009-08-09,0.381142099
2009-08-16,0.30810092899999997
2009-08-23,0.346613546
2009-08-30,0.41168658700000005
2009-09-06,0.460823373
2009-09-13,0.519256308
2009-09-20,0.6799468790000001
2009-09-27,0.678618858
2009-10-04,0.743691898
2009-10-11,0.7768924309999999
2009-10-18,1.0
2009-10-25,0.92695883
2009-11-01,0.860557768
2009-11-08,0.67065073
2009-11-15,0.569721115
2009-11-22,0.448871181
2009-11-29,0.504648074
2009-12-06,0.430278885
2009-12-13,0.43824701200000005
2009-12-20,0.501992032
2009-12-27,0.561752988
2010-01-03,0.525896414
2010-01-10,0.387782205
2010-01-17,0.378486056
2010-01-24,0.393094289
2010-01-31,0.419654714
2010-02-07,0.410358565
2010-02-14,0.387782205
2010-02-21,0.391766268
2010-02-28,0.377158034
2010-03-07,0.351925631
2010-03-14,0.34130146
2010-03-21,0.328021248
2010-03-28,0.28154050399999997
2010-04-04,0.26560424899999996
2010-04-11,0.253652059
2010-04-18,0.260292165
2010-04-25,0.231075698
2010-05-02,0.21912350600000002
2010-05-09,0.24568393100000002
2010-05-16,0.216467463
2010-05-23,0.2124834
2010-05-30,0.22045152699999998
2010-06-06,0.20053120800000002
2010-06-13,0.19389110199999998
2010-06-20,0.16733067699999998
2010-06-27,0.177954847
2010-07-04,0.184594953
2010-07-11,0.177954847
2010-07-18,0.172642763
2010-07-25,0.16733067699999998
2010-08-01,0.183266932
2010-08-08,0.20185923
2010-08-15,0.199203187
2010-08-22,0.20053120800000002
2010-08-29,0.22443559100000002
2010-09-05,0.282868527
2010-09-12,0.34130146
2010-09-19,0.367861885
2010-09-26,0.37583001299999996
2010-10-03,0.374501993
2010-10-10,0.351925631
2010-10-17,0.38645418299999995
2010-10-24,0.354581673
2010-10-31,0.370517928
2010-11-07,0.41434263
2010-11-14,0.42895086299999996
2010-11-21,0.41301460799999995
2010-11-28,0.47144754299999997
2010-12-05,0.504648074
2010-12-12,0.540504648
2010-12-19,0.674634794
2010-12-26,0.806108898
2011-01-02,0.759628153
2011-01-09,0.567065072
2011-01-16,0.519256308
2011-01-23,0.572377158
2011-01-30,0.536520584
2011-02-06,0.571049137
2011-02-13,0.563081009
2011-02-20,0.505976096
2011-02-27,0.479415671
2011-03-06,0.42363877899999997
2011-03-13,0.36122177899999997
2011-03-20,0.351925631
2011-03-27,0.32934927
2011-04-03,0.300132802
2011-04-10,0.29216467399999996
2011-04-17,0.28552456800000003
2011-04-24,0.274900398
2011-05-01,0.252324037
2011-05-08,0.25498008
2011-05-15,0.264276229
2011-05-22,0.262948207
2011-05-29,0.233731739
2011-06-05,0.229747676
2011-06-12,0.2124834
2011-06-19,0.20185923
2011-06-26,0.184594953
2011-07-03,0.189907038
2011-07-10,0.19389110199999998
2011-07-17,0.215139442
2011-07-24,0.21381142
2011-07-31,0.20584329399999998
2011-08-07,0.216467463
2011-08-14,0.221779549
2011-08-21,0.215139442
2011-08-28,0.24966799399999998
2011-09-04,0.28154050399999997
2011-09-11,0.309428951
2011-09-18,0.370517928
2011-09-25,0.410358565
2011-10-02,0.394422311
2011-10-09,0.377158034
2011-10-16,0.391766268
2011-10-23,0.398406375
2011-10-30,0.405046481
2011-11-06,0.424966799
2011-11-13,0.45551128799999996
2011-11-20,0.41301460799999995
2011-11-27,0.478087649
2011-12-04,0.46480743700000005
2011-12-11,0.479415671
2011-12-18,0.537848605
2011-12-25,0.618857901
