Week,ILI
2004-01-10,2.418331218
2004-01-17,1.8090559730000002
2004-01-24,1.712023853
2004-01-31,1.542495115
2004-02-07,1.437868261
2004-02-14,1.32427397
2004-02-21,1.307256674
2004-02-28,1.0369769770000001
2004-03-06,1.010320438
2004-03-13,1.052492479
2004-03-20,1.020090073
2004-03-27,0.9244187209999999
2004-04-03,0.7906450270000001
2004-04-10,0.8026097759999999
2004-04-17,0.836129995
2004-04-24,0.7924357959999999
2004-05-01,0.6835877309999999
2004-05-08,0.757452265
2004-05-15,0.788585419
2004-05-22,0.812170981
2004-05-29,0.8044628890000001
2004-06-05,0.877700936
2004-06-12,0.741453008
2004-06-19,0.661022215
2004-06-26,0.715109201
2004-07-03,0.562241232
2004-07-10,0.786808218
2004-07-17,0.860657847
2004-07-24,0.689943988
2004-07-31,0.77969116
2004-08-07,0.6281439329999999
2004-08-14,0.902458614
2004-08-21,0.8064431670000001
2004-08-28,0.874887765
2004-09-04,0.9932130440000001
2004-09-11,0.876140758
2004-09-18,0.948091564
2004-09-25,0.9269426209999999
2004-10-02,0.971643
2004-10-09,0.897159138
2004-10-16,1.022482794
2004-10-23,1.062963178
2004-10-30,1.146956981
2004-11-06,1.204950065
2004-11-13,1.305165503
2004-11-20,1.286991647
2004-11-27,1.5946756169999998
2004-12-04,1.397143182
2004-12-11,1.449956726
2004-12-18,1.617454456
2004-12-25,2.191119208
2005-01-01,2.566489315
2005-01-08,2.176449094
2005-01-15,2.201712061
2005-01-22,2.530121136
2005-01-29,3.065238098
2005-02-05,3.980608301
2005-02-12,4.595680265
2005-02-19,4.75197055
2005-02-26,4.179620642
2005-03-05,3.45358511
2005-03-12,3.158522375
2005-03-19,2.6732010330000002
2005-03-26,2.351610407
2005-04-02,1.8924284919999999
2005-04-09,1.524904773
2005-04-16,1.411344095
2005-04-23,1.250682562
2005-04-30,1.207024978
2005-05-07,1.078954965
2005-05-14,1.1452079590000002
2005-05-21,1.061242631
2005-05-28,1.056797738
2005-06-04,1.25193098
2005-06-11,1.014189346
2005-06-18,1.041969283
2005-06-25,0.954027367
2005-07-02,0.84822989
2005-07-09,0.841871513
2005-07-16,0.730893626
2005-07-23,0.7134316190000001
2005-07-30,0.6706771810000001
2005-08-06,0.689277592
2005-08-13,0.70492899
2005-08-20,0.615903314
2005-08-27,0.6094256060000001
2005-09-03,0.68025867
2005-09-10,0.7754884259999999
2005-09-17,0.68342137
2005-09-24,0.781074795
2005-10-01,0.8069434670000001
2005-10-08,1.076346784
2005-10-15,1.0586889640000001
2005-10-22,1.1152325840000001
2005-10-29,1.123812497
2005-11-05,1.254889179
2005-11-12,1.336608972
2005-11-19,1.378636362
2005-11-26,1.6082899609999999
2005-12-03,1.4831056219999998
2005-12-10,1.653739929
2005-12-17,2.006789242
2005-12-24,2.568571608
2005-12-31,3.0527762239999996
2006-01-07,2.4250372959999997
2006-01-14,2.001950645
2006-01-21,2.0586902240000002
2006-01-28,2.212769677
2006-02-04,2.322200097
2006-02-11,2.4927920130000003
2006-02-18,2.794894202
2006-02-25,2.969111362
2006-03-04,2.839590546
2006-03-11,2.777990206
2006-03-18,2.472869266
2006-03-25,2.180614596
2006-04-01,2.016795135
2006-04-08,1.641013321
2006-04-15,1.358286534
2006-04-22,1.142798278
2006-04-29,1.040312519
2006-05-06,0.964346915
2006-05-13,0.937981747
2006-05-20,0.94744934
2006-05-27,0.891918208
2006-06-03,0.8646426840000001
2006-06-10,0.9703199020000001
2006-06-17,0.84439012
2006-06-24,0.7748703579999999
2006-07-01,0.821372487
2006-07-08,0.872744512
2006-07-15,0.922634501
2006-07-22,0.899486835
2006-07-29,0.843082379
2006-08-05,0.8818244129999999
2006-08-12,0.81714517
2006-08-19,0.871500093
2006-08-26,0.738620506
2006-09-02,0.797965969
2006-09-09,1.0139373059999999
2006-09-16,0.880935822
2006-09-23,0.943366301
2006-09-30,0.891546176
2006-10-07,1.203222814
2006-10-14,1.057882157
2006-10-21,1.130535435
2006-10-28,1.125522984
2006-11-04,1.208082024
2006-11-11,1.349524402
2006-11-18,1.468900417
2006-11-25,1.8276715890000002
2006-12-02,1.665601242
2006-12-09,1.859683428
2006-12-16,2.3889130169999997
2006-12-23,2.7897759310000003
2006-12-30,3.1154858489999997
2007-01-06,2.2694244709999998
2007-01-13,1.8635464290000001
2007-01-20,1.999863456
2007-01-27,2.440604413
2007-02-03,2.83018207
2007-02-10,3.123425582
2007-02-17,3.2701948689999996
2007-02-24,3.177568825
2007-03-03,2.7236366239999996
2007-03-10,2.5020139869999998
2007-03-17,2.427199199
2007-03-24,1.9604132369999998
2007-03-31,1.591397961
2007-04-07,1.3697835369999998
2007-04-14,1.36316678
2007-04-21,1.173695075
2007-04-28,1.063575629
2007-05-05,0.969711104
2007-05-12,0.9653617409999999
2007-05-19,0.856748915
2007-05-26,0.8633464590000001
2007-06-02,0.9353695120000001
2007-06-09,0.745569435
2007-06-16,0.7404281090000001
2007-06-23,0.672896505
2007-06-30,0.666282009
2007-07-07,0.662747255
2007-07-14,0.545618971
2007-07-21,0.5862305999999999
2007-07-28,0.660686705
2007-08-04,0.53409284
2007-08-11,0.5855491270000001
2007-08-18,0.618074959
2007-08-25,0.687464689
2007-09-01,0.715696068
2007-09-08,0.8293130679999999
2007-09-15,0.800911545
2007-09-22,0.9184839490000001
2007-09-29,0.814259035
2007-10-06,1.071970841
2007-10-13,1.217857372
2007-10-20,1.24575535
2007-10-27,1.359844882
2007-11-03,1.446708487
2007-11-10,1.532863846
2007-11-17,1.6665324259999998
2007-11-24,1.9748773480000001
2007-12-01,1.673054716
2007-12-08,1.6340508619999998
2007-12-15,1.745947486
2007-12-22,1.9364319190000001
2007-12-29,2.489053422
2008-01-05,2.254048393
